"Study_Network_id","pollinator_count","total_pollinator_count","percentage","strategy","n_plants","pollinator_order"
"30_Smith_lsk77_2011",11,13,84.6153846153846,"Abundance",10,"Hymenoptera"
"30_Smith_lsk77_2012",8,12,66.6666666666667,"Abundance",10,"Hymenoptera"
"31_Roberts_Hunt_2013",9,11,81.8181818181818,"Abundance",10,"Hymenoptera"
"31_Roberts_Jefferies_2013",8,9,88.8888888888889,"Abundance",10,"Hymenoptera"
"31_Roberts_Livingstone_far_2012",5,9,55.5555555555556,"Abundance",10,"Hymenoptera"
"31_Roberts_Livingstone_house_2012",8,10,80,"Abundance",10,"Hymenoptera"
"31_Roberts_Mearns_2013",13,15,86.6666666666667,"Abundance",10,"Hymenoptera"
"31_Roberts_White_left_2012",6,15,40,"Abundance",10,"Hymenoptera"
"36_Larkin_Barracks.Lyan.Co.Clare_13.2017_GS1",5,5,100,"Abundance",10,"Hymenoptera"
"36_Larkin_Glencolumbkille.South.Carron.Co.Clare_20.2017_GS1",6,8,75,"Abundance",10,"Hymenoptera"
"37_White_An",11,11,100,"Abundance",10,"Hymenoptera"
"37_White_Bl",6,7,85.7142857142857,"Abundance",10,"Hymenoptera"
"37_White_Bn",9,12,75,"Abundance",10,"Hymenoptera"
"37_White_CW",7,10,70,"Abundance",10,"Hymenoptera"
"37_White_Ce",7,7,100,"Abundance",10,"Hymenoptera"
"37_White_Cn",10,13,76.9230769230769,"Abundance",10,"Hymenoptera"
"37_White_ED",7,8,87.5,"Abundance",10,"Hymenoptera"
"37_White_Fs",7,8,87.5,"Abundance",10,"Hymenoptera"
"37_White_JK",9,11,81.8181818181818,"Abundance",10,"Hymenoptera"
"37_White_Kr",7,8,87.5,"Abundance",10,"Hymenoptera"
"37_White_ND",7,8,87.5,"Abundance",10,"Hymenoptera"
"37_White_NG",7,9,77.7777777777778,"Abundance",10,"Hymenoptera"
"37_White_Pn",8,9,88.8888888888889,"Abundance",10,"Hymenoptera"
"37_White_WD",8,10,80,"Abundance",10,"Hymenoptera"
"38_Maurer_A1",16,20,80,"Abundance",10,"Hymenoptera"
"38_Maurer_A2",9,29,31.0344827586207,"Abundance",10,"Hymenoptera"
"38_Maurer_A3",6,22,27.2727272727273,"Abundance",10,"Hymenoptera"
"38_Maurer_A4",10,21,47.6190476190476,"Abundance",10,"Hymenoptera"
"38_Maurer_R1",14,31,45.1612903225806,"Abundance",10,"Hymenoptera"
"38_Maurer_R2",21,37,56.7567567567568,"Abundance",10,"Hymenoptera"
"38_Maurer_R3",18,41,43.9024390243902,"Abundance",10,"Hymenoptera"
"38_Maurer_R4",8,30,26.6666666666667,"Abundance",10,"Hymenoptera"
"38_Maurer_U2",15,49,30.6122448979592,"Abundance",10,"Hymenoptera"
"38_Maurer_U3",17,39,43.5897435897436,"Abundance",10,"Hymenoptera"
"39_Schweiger_I1_ruderal_1_2021",10,16,62.5,"Abundance",10,"Hymenoptera"
"39_Schweiger_I2_semi.natural.grass_5_2021",22,25,88,"Abundance",10,"Hymenoptera"
"39_Schweiger_I2_woodland.scrub_1_2021",12,19,63.1578947368421,"Abundance",10,"Hymenoptera"
"39_Schweiger_I4_woodland.scrub_3_2021",11,17,64.7058823529412,"Abundance",10,"Hymenoptera"
"39_Schweiger_R1_semi.natural.grass_4_2021",15,20,75,"Abundance",10,"Hymenoptera"
