Study_Network_id,n_plants_total,total_pollinator_richness,n_plants_sampled,captured_pollinator_richness,repetition,sampling_proportion,sampling_percent,pollinator_richness_captured_percent
11_Clough_ASK_2021_2021,16,19,2,4,1,0.1,10,21.05263157894737
11_Clough_HAM_2021_2021,24,38,3,11,1,0.1,10,28.94736842105263
11_Clough_KOM_2021_2021,22,23,3,1,1,0.1,10,4.3478260869565215
11_Clough_LOB_2021_2021,21,19,3,6,1,0.1,10,31.57894736842105
11_Clough_PET_2021_2021,30,36,3,4,1,0.1,10,11.11111111111111
11_Clough_TAG_2021_2021,28,35,3,3,1,0.1,10,8.571428571428571
12_Ockinger_Norrang_Ryckelsby_Og,25,21,3,8,1,0.1,10,38.095238095238095
12_Ockinger_Sattra_Og,26,11,3,1,1,0.1,10,9.090909090909092
12_Ockinger_St_Tadinge,28,18,3,3,1,0.1,10,16.666666666666668
12_Ockinger_Tjalinge_Skogstibble,35,18,4,2,1,0.1,10,11.11111111111111
20_Hoiss_H5_2010,25,81,3,33,1,0.1,10,40.74074074074074
20_Hoiss_H6_2010,36,36,4,5,1,0.1,10,13.88888888888889
20_Hoiss_H7_2010,31,38,4,4,1,0.1,10,10.526315789473685
20_Hoiss_HO1_2010,30,52,3,9,1,0.1,10,17.307692307692307
20_Hoiss_HO5_2010,50,57,5,1,1,0.1,10,1.7543859649122806
20_Hoiss_T4_2010,32,61,4,11,1,0.1,10,18.0327868852459
22_Kallnik_h1_2012,87,11,9,3,1,0.1,10,27.272727272727273
22_Kallnik_h2_2011,54,11,6,10,1,0.1,10,90.9090909090909
22_Kallnik_h3_2011,71,10,8,3,1,0.1,10,30
22_Kallnik_h4_2010,96,10,10,0,1,0.1,10,0
22_Kallnik_h4_2011,85,10,9,6,1,0.1,10,60
22_Kallnik_h5_2011,54,11,6,3,1,0.1,10,27.272727272727273
22_Kallnik_h5_2012,78,11,8,3,1,0.1,10,27.272727272727273
22_Kallnik_h6_2011,69,10,7,2,1,0.1,10,20
22_Kallnik_h7_2011,63,10,7,5,1,0.1,10,50
22_Kallnik_ho2_2011,68,10,7,4,1,0.1,10,40
22_Kallnik_ho3_2011,49,12,5,6,1,0.1,10,50
22_Kallnik_ho3_2012,61,10,7,6,1,0.1,10,60
22_Kallnik_ho4_2010,76,10,8,8,1,0.1,10,80
22_Kallnik_ho4_2011,71,13,8,6,1,0.1,10,46.15384615384615
22_Kallnik_ho4_2012,79,12,8,10,1,0.1,10,83.33333333333333
22_Kallnik_ho5_2011,59,12,6,2,1,0.1,10,16.666666666666668
22_Kallnik_wma3_2011,53,10,6,7,1,0.1,10,70
22_Kallnik_wma3_2012,71,10,8,6,1,0.1,10,60
22_Kallnik_wma4_2011,50,11,5,3,1,0.1,10,27.272727272727273
22_Kallnik_wma5_2011,55,10,6,7,1,0.1,10,70
22_Kallnik_wmb1_2012,92,11,10,7,1,0.1,10,63.63636363636363
22_Kallnik_wmb2_2011,89,12,9,6,1,0.1,10,50
22_Kallnik_wmb2_2012,108,11,11,6,1,0.1,10,54.54545454545455
22_Kallnik_wmb3_2011,90,10,9,8,1,0.1,10,80
22_Kallnik_wmb3_2012,106,10,11,6,1,0.1,10,60
22_Kallnik_wmb4_2010,84,12,9,0,1,0.1,10,0
22_Kallnik_wmb4_2011,78,13,8,2,1,0.1,10,15.384615384615385
22_Kallnik_wmb4_2012,87,11,9,4,1,0.1,10,36.36363636363637
22_Kallnik_wmb5_2010,91,11,10,5,1,0.1,10,45.45454545454545
22_Kallnik_wmb5_2011,82,11,9,3,1,0.1,10,27.272727272727273
22_Kallnik_wmb5_2012,90,11,9,5,1,0.1,10,45.45454545454545
28_Sutter_10_2013,44,16,5,6,1,0.1,10,37.5
28_Sutter_11_2013,38,14,4,4,1,0.1,10,28.571428571428573
28_Sutter_12_2013,34,12,4,4,1,0.1,10,33.333333333333336
28_Sutter_13_2013,45,13,5,5,1,0.1,10,38.46153846153846
